link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/kristinharris,https://www.buzzfeed.com/amphtml/kristinharris,3980,1591,3787,1506,0
https://www.buzzfeed.com/kristinharris,https://www.buzzfeed.com/amphtml/kristinharris,1747,74,4063,177,1
https://www.buzzfeed.com/kristinharris,https://www.buzzfeed.com/amphtml/kristinharris,2344,232,3028,173,2
https://www.buzzfeed.com/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,https://www.buzzfeed.com/amphtml/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,2946,462,4926,822,0
https://www.buzzfeed.com/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,https://www.buzzfeed.com/amphtml/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,3800,99,2432,124,1
https://www.buzzfeed.com/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,https://www.buzzfeed.com/amphtml/adolfoflores/deportation-of-arizona-mother-a-sign-of-things-to-come-under,8282,302,2567,145,2
https://www.buzzfeed.com/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,https://www.buzzfeed.com/amphtml/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,4671,179,4384,952,0
https://www.buzzfeed.com/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,https://www.buzzfeed.com/amphtml/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,10283,420,2043,43,1
https://www.buzzfeed.com/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,https://www.buzzfeed.com/amphtml/caseyrackham/questions-i-have-about-the-lizzie-mcguire-movie,8631,97,2733,136,2
https://www.buzzfeed.com/caseyrackham,https://www.buzzfeed.com/amphtml/caseyrackham,1754,229,4616,1593,0
https://www.buzzfeed.com/caseyrackham,https://www.buzzfeed.com/amphtml/caseyrackham,3402,443,4783,219,1
https://www.buzzfeed.com/caseyrackham,https://www.buzzfeed.com/amphtml/caseyrackham,1739,161,10353,541,2
https://www.buzzfeed.com/jessicamisener/wyd,https://www.buzzfeed.com/amphtml/jessicamisener/wyd,2255,77,1919,978,0
https://www.buzzfeed.com/jessicamisener/wyd,https://www.buzzfeed.com/amphtml/jessicamisener/wyd,2339,71,972,33,1
https://www.buzzfeed.com/jessicamisener/wyd,https://www.buzzfeed.com/amphtml/jessicamisener/wyd,2224,76,1085,42,2
