link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.washingtonpost.com/news/true-crime/wp/2017/02/06/they-were-once-one-big-happy-group-now-two-teens-are-accused-of-killing-another/,https://www.washingtonpost.com/amphtml/news/true-crime/wp/2017/02/06/they-were-once-one-big-happy-group-now-two-teens-are-accused-of-killing-another/,3228,85,2768,652,0
https://www.washingtonpost.com/news/true-crime/wp/2017/02/06/they-were-once-one-big-happy-group-now-two-teens-are-accused-of-killing-another/,https://www.washingtonpost.com/amphtml/news/true-crime/wp/2017/02/06/they-were-once-one-big-happy-group-now-two-teens-are-accused-of-killing-another/,2842,86,1597,90,1
https://www.washingtonpost.com/news/true-crime/wp/2017/02/06/they-were-once-one-big-happy-group-now-two-teens-are-accused-of-killing-another/,https://www.washingtonpost.com/amphtml/news/true-crime/wp/2017/02/06/they-were-once-one-big-happy-group-now-two-teens-are-accused-of-killing-another/,3026,78,1670,95,2
https://www.washingtonpost.com/news/worldviews/wp/2017/02/06/breaking-bad-fan-who-dissolved-cops-body-in-acid-is-found-dead-in-prison/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/06/breaking-bad-fan-who-dissolved-cops-body-in-acid-is-found-dead-in-prison/,3165,77,1828,589,0
https://www.washingtonpost.com/news/worldviews/wp/2017/02/06/breaking-bad-fan-who-dissolved-cops-body-in-acid-is-found-dead-in-prison/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/06/breaking-bad-fan-who-dissolved-cops-body-in-acid-is-found-dead-in-prison/,3383,68,1748,688,1
https://www.washingtonpost.com/news/worldviews/wp/2017/02/06/breaking-bad-fan-who-dissolved-cops-body-in-acid-is-found-dead-in-prison/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/06/breaking-bad-fan-who-dissolved-cops-body-in-acid-is-found-dead-in-prison/,4586,76,1229,111,2
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/this-judge-told-a-19-year-old-rapist-that-his-probation-would-include-no-sex-outside-of-marriage/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/this-judge-told-a-19-year-old-rapist-that-his-probation-would-include-no-sex-outside-of-marriage/,3831,586,838,98,0
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/this-judge-told-a-19-year-old-rapist-that-his-probation-would-include-no-sex-outside-of-marriage/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/this-judge-told-a-19-year-old-rapist-that-his-probation-would-include-no-sex-outside-of-marriage/,3184,74,1857,97,1
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/this-judge-told-a-19-year-old-rapist-that-his-probation-would-include-no-sex-outside-of-marriage/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/this-judge-told-a-19-year-old-rapist-that-his-probation-would-include-no-sex-outside-of-marriage/,3546,82,1848,269,2
https://www.washingtonpost.com/news/post-nation/wp/2017/02/05/she-went-for-a-jog-and-never-came-home-six-months-later-police-may-have-found-her-killer/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/05/she-went-for-a-jog-and-never-came-home-six-months-later-police-may-have-found-her-killer/,3843,659,1558,384,0
