link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.theguardian.com/lifeandstyle/2017/feb/21/no-wives-withholding-sex-are-not-to-blame-for-male-violence,https://amp.theguardian.com/lifeandstyle/2017/feb/21/no-wives-withholding-sex-are-not-to-blame-for-male-violence,3627,99,1178,50,2
https://www.theguardian.com/commentisfree/2017/feb/21/moonlight-affirmation-gay-black-men-exist,https://amp.theguardian.com/commentisfree/2017/feb/21/moonlight-affirmation-gay-black-men-exist,5076,73,1389,183,0
https://www.theguardian.com/commentisfree/2017/feb/21/moonlight-affirmation-gay-black-men-exist,https://amp.theguardian.com/commentisfree/2017/feb/21/moonlight-affirmation-gay-black-men-exist,4209,81,1449,285,1
https://www.theguardian.com/commentisfree/2017/feb/21/moonlight-affirmation-gay-black-men-exist,https://amp.theguardian.com/commentisfree/2017/feb/21/moonlight-affirmation-gay-black-men-exist,8399,67,1166,40,2
https://www.theguardian.com/commentisfree/2017/feb/20/us-politics-left-resistance-christian-anger-jesus-bible,https://amp.theguardian.com/commentisfree/2017/feb/20/us-politics-left-resistance-christian-anger-jesus-bible,5361,76,1348,188,0
https://www.theguardian.com/commentisfree/2017/feb/20/us-politics-left-resistance-christian-anger-jesus-bible,https://amp.theguardian.com/commentisfree/2017/feb/20/us-politics-left-resistance-christian-anger-jesus-bible,4421,281,1308,201,1
https://www.theguardian.com/commentisfree/2017/feb/20/us-politics-left-resistance-christian-anger-jesus-bible,https://amp.theguardian.com/commentisfree/2017/feb/20/us-politics-left-resistance-christian-anger-jesus-bible,3241,79,1356,308,2
https://www.theguardian.com/books/2017/feb/21/milo-yiannopoulos-book-deal-cancelled-outrage-child-abuse-comments,https://amp.theguardian.com/books/2017/feb/21/milo-yiannopoulos-book-deal-cancelled-outrage-child-abuse-comments,5433,101,1367,214,0
https://www.theguardian.com/books/2017/feb/21/milo-yiannopoulos-book-deal-cancelled-outrage-child-abuse-comments,https://amp.theguardian.com/books/2017/feb/21/milo-yiannopoulos-book-deal-cancelled-outrage-child-abuse-comments,4653,62,1127,38,1
https://www.theguardian.com/books/2017/feb/21/milo-yiannopoulos-book-deal-cancelled-outrage-child-abuse-comments,https://amp.theguardian.com/books/2017/feb/21/milo-yiannopoulos-book-deal-cancelled-outrage-child-abuse-comments,4574,336,1279,38,2
https://www.theguardian.com/books/2017/feb/21/us-libraries-join-struggle-to-resist-the-trump-administration,https://amp.theguardian.com/books/2017/feb/21/us-libraries-join-struggle-to-resist-the-trump-administration,5101,75,1359,260,0
https://www.theguardian.com/books/2017/feb/21/us-libraries-join-struggle-to-resist-the-trump-administration,https://amp.theguardian.com/books/2017/feb/21/us-libraries-join-struggle-to-resist-the-trump-administration,5024,75,1343,141,1
https://www.theguardian.com/books/2017/feb/21/us-libraries-join-struggle-to-resist-the-trump-administration,https://amp.theguardian.com/books/2017/feb/21/us-libraries-join-struggle-to-resist-the-trump-administration,5585,68,1167,36,2
https://www.theguardian.com/law/2017/feb/21/mexico-border-shooting-teenager-supreme-court,https://amp.theguardian.com/law/2017/feb/21/mexico-border-shooting-teenager-supreme-court,6498,105,1566,185,0
https://www.theguardian.com/law/2017/feb/21/mexico-border-shooting-teenager-supreme-court,https://amp.theguardian.com/law/2017/feb/21/mexico-border-shooting-teenager-supreme-court,3693,302,1461,386,1
https://www.theguardian.com/law/2017/feb/21/mexico-border-shooting-teenager-supreme-court,https://amp.theguardian.com/law/2017/feb/21/mexico-border-shooting-teenager-supreme-court,4800,416,1442,39,2
https://www.theguardian.com/world/2017/feb/21/bao-bao-giant-panda-leaves-washington-zoo-china,https://amp.theguardian.com/world/2017/feb/21/bao-bao-giant-panda-leaves-washington-zoo-china,4152,282,1271,181,0
https://www.theguardian.com/world/2017/feb/21/bao-bao-giant-panda-leaves-washington-zoo-china,https://amp.theguardian.com/world/2017/feb/21/bao-bao-giant-panda-leaves-washington-zoo-china,4834,74,1456,255,1
https://www.theguardian.com/world/2017/feb/21/bao-bao-giant-panda-leaves-washington-zoo-china,https://amp.theguardian.com/world/2017/feb/21/bao-bao-giant-panda-leaves-washington-zoo-china,3918,167,1607,190,2
https://www.theguardian.com/us-news/2017/feb/20/trump-appoints-hr-mcmaster-national-security-adviser,https://amp.theguardian.com/us-news/2017/feb/20/trump-appoints-hr-mcmaster-national-security-adviser,5448,459,1709,537,0
https://www.theguardian.com/us-news/2017/feb/20/trump-appoints-hr-mcmaster-national-security-adviser,https://amp.theguardian.com/us-news/2017/feb/20/trump-appoints-hr-mcmaster-national-security-adviser,4118,165,1578,45,1
https://www.theguardian.com/us-news/2017/feb/20/trump-appoints-hr-mcmaster-national-security-adviser,https://amp.theguardian.com/us-news/2017/feb/20/trump-appoints-hr-mcmaster-national-security-adviser,5174,521,1240,45,2
https://www.theguardian.com/technology/2017/feb/21/uber-hires-eric-holder-to-investigate-sexual-harassment-allegations,https://amp.theguardian.com/technology/2017/feb/21/uber-hires-eric-holder-to-investigate-sexual-harassment-allegations,5370,67,1319,186,0
https://www.theguardian.com/technology/2017/feb/21/uber-hires-eric-holder-to-investigate-sexual-harassment-allegations,https://amp.theguardian.com/technology/2017/feb/21/uber-hires-eric-holder-to-investigate-sexual-harassment-allegations,8277,206,1196,61,1
https://www.theguardian.com/technology/2017/feb/21/uber-hires-eric-holder-to-investigate-sexual-harassment-allegations,https://amp.theguardian.com/technology/2017/feb/21/uber-hires-eric-holder-to-investigate-sexual-harassment-allegations,35005,81,1180,39,2
https://www.theguardian.com/us-news/2017/feb/20/trump-family-security-new-york-palm-beach-taxes,https://amp.theguardian.com/us-news/2017/feb/20/trump-family-security-new-york-palm-beach-taxes,3551,75,1487,405,0
